Date,Image,Burn Factor,Transformation,YouTube Channel Link,YouTube Channel Name
"February 13, 2022",https://s3.amazonaws.com/images.burntbase.com/img/bases/videocapture_20220213_162808_228060.jpg,100%,Original,https://www.youtube.com/channel/UCkc0yONm6b5F-cK_NgpF9YQ,Legend Clash Lover
"February 07, 2022",https://s3.amazonaws.com/images.burntbase.com/img/bases/videocapture_20220207_215349_046867.jpg,100%,Original,https://www.youtube.com/channel/UCkc0yONm6b5F-cK_NgpF9YQ,Legend Clash Lover
"February 07, 2022",https://s3.amazonaws.com/images.burntbase.com/img/bases/videocapture_20220207_012228_998868.jpg,100%,Original,https://www.youtube.com/channel/UCkc0yONm6b5F-cK_NgpF9YQ,Legend Clash Lover
"March 14, 2022",https://s3.amazonaws.com/images.burntbase.com/img/bases/videocapture_20220314_215505_568586.jpg,75%,270° Rotation,https://www.youtube.com/channel/UCPs052H4yF8dUf7Tl_vNWyA,Hasan Raza
"March 16, 2022",https://s3.amazonaws.com/images.burntbase.com/img/bases/videocapture_20220316_024421_993692.jpg,75%,270° Rotation,https://www.youtube.com/channel/UC458GfYXfjyci6y8McQE7Bw,PAPA Mogambo. CK
"March 25, 2022",https://s3.amazonaws.com/images.burntbase.com/img/bases/videocapture_20220325_003651_561878.jpg,75%,270° Rotation,https://www.youtube.com/channel/UC458GfYXfjyci6y8McQE7Bw,PAPA Mogambo. CK
"July 01, 2021",https://s3.amazonaws.com/images.burntbase.com/img/bases/videocapture_20210701_055045_989176.jpg,66%,Original,https://www.youtube.com/channel/UCieng6A4kTTYyh74llSKfpw,gaming with DARKLORD
"June 28, 2021",https://s3.amazonaws.com/images.burntbase.com/img/bases/videocapture_20210628_073052_054410.jpg,66%,Original,https://www.youtube.com/channel/UCDRzp5wOZ4dVR1dcfJPUaTw,JunHo TV COC
"July 01, 2021",https://s3.amazonaws.com/images.burntbase.com/img/bases/videocapture_20210701_051944_865028.jpg,66%,Original,https://www.youtube.com/channel/UCov8tDRPN7vyetNMQVta-eg,Zolokotroko TOP
"July 01, 2021",https://s3.amazonaws.com/images.burntbase.com/img/bases/videocapture_20210701_053250_641011.jpg,66%,Original,https://www.youtube.com/channel/UC0805mJC5EMpgrCvFVlmi1w,GTS INFO
